"","participant_private_id","x","meancnc","mean_az","session1","session2"
"54",1454989,54,0.56,0.2,0.804166666666667,0.779166666666667
"55",1455016,55,0.66,0.55,0.891666666666667,0.829166666666667
"56",1455056,56,0.48,0.3,0.816666666666667,0.716666666666667
"57",1455182,57,0.56,0.35,0.6625,0.720833333333333
"58",1455202,58,0.54,0.4,0.770833333333333,0.720833333333333
"59",1455209,59,0.55,0.3,0.745833333333333,0.825
"60",1455216,60,0.55,0.25,0.604166666666667,0.570833333333333
"61",1455218,61,0.59,0.4,0.741666666666667,0.7375
"62",1455228,62,0.71,0.5,0.85,0.816666666666667
"63",1455239,63,0.6,0.4,0.741666666666667,0.720833333333333
"64",1455258,64,0.72,0.6,0.858333333333333,0.8
"65",1455269,65,0.53,0.35,0.745833333333333,0.775
"66",1455273,66,0.53,0.35,0.766666666666667,0.7625
"67",1455281,67,0.68,0.15,0.8125,0.766666666666667
"68",1455289,68,0.64,0.4,0.729166666666667,0.829166666666667
"69",1455294,69,0.55,0.25,0.6875,0.658333333333333
"70",1455298,70,0.66,0.4,0.804166666666667,0.733333333333333
"71",1455300,71,0.56,0.15,0.816666666666667,0.775
"72",1455310,72,0.58,0.4,0.683333333333333,0.708333333333333
"73",1455311,73,0.51,0.3,0.658333333333333,0.658333333333333
"74",1455315,74,0.38,0.05,0.720833333333333,0.7375
"75",1455322,75,0.48,0.25,0.641666666666667,0.666666666666667
"76",1455328,76,0.35,0.1,0.7,0.629166666666667
"77",1455343,77,0.59,0.4,0.804166666666667,0.841666666666667
"78",1455798,78,0.66,0.2,0.4875,0.591666666666667
"79",1499605,79,0.5,0.3,0.645833333333333,0.691666666666667
"80",1499607,80,0.59,0.5,0.758333333333333,0.733333333333333
"81",1499608,81,0.56,0.35,0.758333333333333,0.845833333333333
"82",1499609,82,0.59,0.4,0.845833333333333,0.7375
"83",1499614,83,0.35,0.1,0.733333333333333,0.691666666666667
"84",1499615,84,0.55,0.3,0.716666666666667,0.808333333333333
"85",1499617,85,0.68,0.3,0.775,0.8375
"86",1499620,86,0.59,0.3,0.7875,0.795833333333333
"87",1499621,87,0.53,0.1,0.666666666666667,0.583333333333333
"88",1499623,88,0.53,0.4,0.741666666666667,0.641666666666667
"89",1499630,89,0.69,0.35,0.8,0.829166666666667
"90",1499644,90,0.59,0.25,0.716666666666667,0.8
"91",1499648,91,0.57,0.4,0.733333333333333,0.825
"92",1499713,92,0.45,0.2,0.6125,0.629166666666667
"93",1499851,93,0.63,0.3,0.7125,0.691666666666667
"94",1499912,94,0.45,0.2,0.608333333333333,0.554166666666667
"95",1560077,95,0.07,0,0.325,0.495833333333333
"96",1560133,96,0.61,0.55,0.720833333333333,0.75
"97",1560185,97,0.45,0.2,0.7,0.625
"98",1562116,98,0.55,0.1,0.6875,0.633333333333333
